Entity,Code,Year,Share of the richest decile in total income or expenditure
Malawi,MWI,1997,61.49113543
Namibia,NAM,2003,54.78787461
South Africa,ZAF,2005,54.22975835
Botswana,BWA,2002,53.08274553
Belize,BLZ,1994,52.51856382
Namibia,NAM,2009,51.8369473
South Africa,ZAF,2008,51.26437628
South Africa,ZAF,2010,51.26033597
Botswana,BWA,1993,51.20005808
Brazil,BRA,1989,51.14934588
Belize,BLZ,1993,51.14041188
South Africa,ZAF,2014,50.49895281
Belize,BLZ,1997,50.30584212
Botswana,BWA,2009,49.61344802
Eswatini,SWZ,1994,49.53159354
Micronesia (country) - urban,,2000,49.34121464
Brazil,BRA,1988,49.19049326
Brazil,BRA,1993,48.45445096
Lesotho,LSO,1994,48.27369745
Honduras,HND,1989,48.181617
Comoros,COM,2004,48.09803699
Brazil,BRA,1990,48.07811422
Kenya,KEN,1992,47.86956246
Ecuador,ECU,1999,47.8509113
Bolivia,BOL,2000,47.84049076
Haiti,HTI,2001,47.82381496
Central African Republic,CAF,1992,47.73327467
Brazil,BRA,1998,47.59190964
Brazil,BRA,1995,47.54386478
Colombia - urban,,1980,47.44688149
Brazil,BRA,1997,47.39163613
Brazil,BRA,1987,47.38407454
Brazil,BRA,1996,47.3513538
Namibia,NAM,2015,47.25009801
Chile,CHL,1990,47.0505118
Colombia,COL,2000,47.00824128
Brazil,BRA,1999,47.00050782
Colombia,COL,1999,46.90258743
Brazil,BRA,1983,46.79312159
Guatemala,GTM,1989,46.78341391
Guatemala,GTM,1986,46.72727396
South Africa,ZAF,1993,46.65974564
Bolivia,BOL,2002,46.61495094
Brazil,BRA,1986,46.56882029
Belize,BLZ,1996,46.54638955
Brazil,BRA,1984,46.53019173
Colombia,COL,2001,46.32220851
Brazil,BRA,1982,46.23349328
Central African Republic,CAF,2008,46.21854362
Paraguay,PRY,2002,46.17147035
Brazil,BRA,2002,46.13413065
Honduras,HND,2005,46.12433523
Paraguay,PRY,1995,46.10871892
Brazil,BRA,2001,46.09611016
Ecuador,ECU,2000,45.91534297
Chile,CHL,1994,45.90671
Brazil,BRA,1981,45.88057952
Colombia,COL,1996,45.63734616
Mozambique,MOZ,2014,45.47815357
Honduras,HND,1990,45.46625354
Brazil,BRA,2003,45.41353421
Chile,CHL,1987,45.39136898
Bolivia,BOL,1997,45.36248761
Bolivia,BOL,2005,45.26919552
Zambia,ZMB,2010,45.23262375
Chile,CHL,1992,45.19586476
Colombia,COL,2002,45.18826934
Honduras,HND,2003,45.05302666
Chile,CHL,1998,44.97181069
South Africa,ZAF,2000,44.93052911
Honduras,HND,2004,44.87460755
Brazil,BRA,2005,44.6348619
Honduras,HND,1998,44.62384898
Brazil,BRA,2004,44.53827407
Colombia,COL,2004,44.52738101
Chile,CHL,1996,44.4273982
Zambia,ZMB,2015,44.3808936
Bolivia,BOL,2001,44.15981085
Eswatini,SWZ,2000,44.13340738
Belize,BLZ,1995,44.12202909
Paraguay,PRY,2003,44.08649444
Panama,PAN,1997,44.07868386
Brazil,BRA,2006,44.05685781
Honduras,HND,2006,43.98653714
Bolivia,BOL,2004,43.91631173
Rwanda,RWA,2005,43.88040297
Guatemala,GTM,2000,43.86378267
Honduras,HND,1995,43.82114315
Mozambique,MOZ,1996,43.75473013
Belize,BLZ,1998,43.70889215
Honduras,HND,1996,43.70818171
Colombia,COL,2008,43.69644071
Peru,PER,1999,43.62926999
Peru,PER,1998,43.60031756
Lesotho,LSO,1986,43.56851991
